,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
562,hsa-mir-106b,SREBF2,562,1.0,2.507289920594084,-0.4198257809499027,7.754782935990993e-12,-3.041264043069563,2.5821117274106955,0.6666666666666666,0.4,5,3
642,hsa-mir-106b,BACH2,642,1.0,8.354959944961486,-0.4495908867493567,1.5263741374551157e-13,-4.753884962057882,5.456712970131978,0.6666666666666666,0.2222222222222222,9,3
3307,hsa-mir-106b,HBP1,3307,1.0,10.110847783354956,-0.3435320454836458,3.647937791176901e-08,-4.372396282186518,4.729411866396498,0.6,0.375,8,5
202,hsa-mir-106b,SP4,202,1.0,8.606775320503312,-0.5335918945598883,2.3420427350373374e-19,-4.32657565542673,4.648040752395758,0.9444444444444444,0.7391304347826086,23,18
219,hsa-mir-106b,SP4,219,1.0,8.606775320503312,-0.3088559285280596,8.630612725619118e-07,-3.5986018308620644,3.410339093447649,0.9444444444444444,0.7391304347826086,23,18
2712,hsa-mir-106b,ONECUT2,2712,1.0,6.893093198912286,-0.3979766134213628,1.0950571830432507e-10,-3.5428131819341435,3.321276988999496,0.5,0.2857142857142857,7,4
2209,hsa-mir-106b,PPARA,2209,1.0,10.781696385985498,-0.4380225435650884,7.353971095960248e-13,-3.635393952213686,3.4654239967231906,1.0,0.7142857142857143,7,5
3838,hsa-mir-106b,NF1,3838,1.0,12.2277903042201,-0.4932720386272298,2.289269022477365e-16,-2.389295923676451,1.7527623330416655,1.0,1.0,6,6
3837,hsa-mir-106b,NF1,3837,1.0,12.2277903042201,-0.3886439578867369,3.2036298798576966e-10,-2.2111639259934126,1.5534379695612277,1.0,1.0,6,6
3657,hsa-mir-106b,STAT5B,3657,1.0,9.64403666641149,-0.429761801502629,2.1804332848339308e-12,-4.120265384050981,4.281169320858107,1.0,0.6,5,3
4321,hsa-mir-106b,SIX6,4321,-1.0,1.3448104858011238,-0.3896597518608053,2.8549863256776037e-10,4.140130168343142,4.319072219026343,1.0,1.0,4,4
3287,hsa-mir-106b,BPTF,3287,1.0,8.90633411113819,-0.6467698433350267,2.6543921850678064e-30,-4.657022093439147,5.266816527009209,0.5384615384615384,0.4117647058823529,17,13
1803,hsa-mir-106b,ZFX,1803,1.0,8.851491384021497,-0.4872631748509969,5.921630043286766e-16,-3.806388861961689,3.744491843758744,1.0,0.7222222222222222,18,13
3314,hsa-mir-106b,ZEB1,3314,1.0,5.72139870257621,-0.3780817730856762,1.0373140931522402e-09,-3.9255108100581793,3.9430831728668654,0.9,0.6428571428571429,14,10
817,hsa-mir-106b,ELF2,817,1.0,8.53930899930519,-0.4712745085891064,6.793324707134629e-15,-4.0145489446338765,4.093625674520188,0.8461538461538461,0.5789473684210527,19,13
823,hsa-mir-106b,ELF2,823,1.0,8.53930899930519,-0.4579904092784654,4.6926577554084944e-14,-3.490904230841568,3.242189548173718,0.8461538461538461,0.5789473684210527,19,13
4055,hsa-mir-107,SOX15,4055,-1.0,2.0725173711478053,-0.3439318653994688,3.5090844907022054e-08,2.0194684805159504,1.3512214231394013,1.0,0.4444444444444444,18,8
315,hsa-mir-107,ETV2,315,-1.0,2.4341337293753726,-0.3950428918557234,1.5401476086962028e-10,3.072835625123906,2.6260381080696598,1.0,0.4,5,2
1939,hsa-mir-107,SOX4,1939,-1.0,2.3672785840726007,-0.5227876700163976,1.6222552956374865e-18,3.289423103829174,2.936791710514221,0.6666666666666666,0.25,16,6
1928,hsa-mir-107,SOX4,1928,-1.0,2.3672785840726007,-0.3705991929255005,2.325445663816092e-09,2.5507802472711814,1.9443225940941904,0.6666666666666666,0.25,16,6
3996,hsa-mir-10a,VAX2,3996,-1.0,4.689651327086715,-0.3397221912444395,5.2657536951275014e-08,5.483976165234498,6.97111187065259,1.0,1.0,5,5
3994,hsa-mir-10a,VAX2,3994,-1.0,4.689651327086715,-0.4360606173252543,9.545261516305737e-13,2.519990496806529,1.907178605667202,1.0,1.0,5,5
3995,hsa-mir-10a,VAX2,3995,-1.0,4.689651327086715,-0.3081157660392633,9.194512159359032e-07,3.0444061306039574,2.586553527954417,1.0,1.0,5,5
3066,hsa-mir-10a,FOXO4,3066,-1.0,5.00072626048213,-0.4212532371782956,6.47905409850049e-12,2.958609777581114,2.467000222091001,0.8571428571428571,0.5,12,7
3072,hsa-mir-10a,FOXO4,3072,-1.0,5.00072626048213,-0.3170365413925132,4.238534750557846e-07,5.248372175465315,6.459351360310814,0.8571428571428571,0.5,12,7
3952,hsa-mir-10a,POU4F1,3952,-1.0,3.639749046447261,-0.32459174254511,2.156322841295698e-07,3.5100666845984585,3.269367666424396,0.875,0.7,10,8
3953,hsa-mir-10a,POU4F1,3953,-1.0,3.639749046447261,-0.3034992337764445,1.3592009668989647e-06,6.013054283122525,8.173060540627501,0.875,0.7,10,8
4336,hsa-mir-10a,SOX11,4336,-1.0,3.1632646314175514,-0.4412285375595289,4.784750200297715e-13,4.556185518729134,5.081473219577138,0.9090909090909092,0.5555555555555556,18,11
4348,hsa-mir-10a,SOX11,4348,-1.0,3.1632646314175514,-0.5415180765688182,5.414429375295863e-20,2.650755011647746,2.0663942363157024,0.9090909090909092,0.5555555555555556,18,11
4338,hsa-mir-10a,SOX11,4338,-1.0,3.1632646314175514,-0.359329062529687,7.54969791549158e-09,4.592381452662502,5.150203663885309,0.9090909090909092,0.5555555555555556,18,11
1922,hsa-mir-10a,PBX1,1922,-1.0,2.288424716012115,-0.424455100801705,4.3159982066030665e-12,3.737295440866212,3.632838334607989,1.0,0.7142857142857143,14,10
1913,hsa-mir-10a,PBX1,1913,-1.0,2.288424716012115,-0.334403925504628,8.718316442141266e-08,3.4382074533542486,3.159814465566164,1.0,0.7142857142857143,14,10
1919,hsa-mir-10a,PBX1,1919,-1.0,2.288424716012115,-0.3593381493459557,7.542670905486422e-09,3.397446887808223,3.098998880507013,1.0,0.7142857142857143,14,10
1059,hsa-mir-10a,ZNF652,1059,-1.0,1.3525322976257694,-0.6144769504644603,1.0049340312694676e-26,3.135855840761498,2.71518354002926,1.0,0.875,8,7
1061,hsa-mir-10a,ZNF652,1061,-1.0,1.3525322976257694,-0.3226901932600605,2.560597746153686e-07,5.188644924714604,6.318938608400342,1.0,0.875,8,7
1057,hsa-mir-10a,ZNF652,1057,-1.0,1.3525322976257694,-0.65401534019801,3.637538193039018e-31,2.678867615031596,2.102700432643319,1.0,0.875,8,7
3307,hsa-mir-10a,HBP1,3307,-1.0,1.3575489785524186,-0.3435320454836458,3.647937791176901e-08,2.394816052124151,1.7596903359639158,0.5,0.25,8,4
3717,hsa-mir-10a,FOXD3,3717,-1.0,5.695449244976647,-0.3122783126543392,6.426408336591298e-07,6.130378406493906,8.445208219252354,1.0,0.7142857142857143,14,10
3710,hsa-mir-10a,FOXD3,3710,-1.0,5.695449244976647,-0.4204007209525742,7.213968156550398e-12,4.646944828405274,5.25600517256431,1.0,0.7142857142857143,14,10
2708,hsa-mir-10a,ONECUT2,2708,-1.0,3.313681516380403,-0.3951894384738856,1.5142498865771252e-10,2.275343707754633,1.6241380871815834,1.0,0.8571428571428571,7,6
2711,hsa-mir-10a,ONECUT2,2711,-1.0,3.313681516380403,-0.4754974981305006,3.610377624086328e-15,4.3395264135696126,4.674680566905677,1.0,0.8571428571428571,7,6
2712,hsa-mir-10a,ONECUT2,2712,-1.0,3.313681516380403,-0.3979766134213628,1.0950571830432507e-10,3.4811012242784645,3.227472889153012,1.0,0.8571428571428571,7,6
3913,hsa-mir-10a,SCRT1,3913,-1.0,2.1109772119176378,-0.5429033263345194,4.175043944260586e-20,5.111515117156452,6.186406026772263,1.0,1.0,2,2
2423,hsa-mir-10a,HOXC11,2423,-1.0,3.068440340086622,-0.3803030777152191,8.130258908925033e-10,2.9577989078901825,2.4676046368723457,0.75,0.5,6,4
730,hsa-mir-10a,MAZ,730,-1.0,1.8438739378239049,-0.3955020259469908,1.4604146715537928e-10,3.249919276814326,2.879283937800873,0.5833333333333334,0.35,20,12
3314,hsa-mir-10a,ZEB1,3314,-1.0,2.485452079141957,-0.3780817730856762,1.0373140931522402e-09,3.114738067575739,2.685366305152848,0.875,0.5,14,8
4279,hsa-mir-10a,NKX2-2,4279,-1.0,4.506388172068597,-0.3800772338238712,8.334858621038667e-10,4.108313531749878,4.262360176235255,1.0,0.6428571428571429,14,9
4272,hsa-mir-10a,NKX2-2,4272,-1.0,4.506388172068597,-0.5089481409092997,1.7537238247490804e-17,4.2052466081409,4.434827816344627,1.0,0.6428571428571429,14,9
4273,hsa-mir-10a,NKX2-2,4273,-1.0,4.506388172068597,-0.4475708147096681,2.0173081652890091e-13,2.937589609603789,2.4402974914405826,1.0,0.6428571428571429,14,9
3234,hsa-mir-10a,SATB1,3234,-1.0,5.743491819716242,-0.3488602241139321,2.1651961694848673e-08,2.696621664264451,2.1251183446191817,0.9166666666666666,0.6470588235294118,17,12
3238,hsa-mir-10a,SATB1,3238,-1.0,5.743491819716242,-0.4046598845974333,4.971970380856094e-11,3.1888149883010497,2.7909293513188524,0.9166666666666666,0.6470588235294118,17,12
3240,hsa-mir-10a,SATB1,3240,-1.0,5.743491819716242,-0.3446274198811279,3.2795759801074386e-08,4.079006134502801,4.211143068468889,0.9166666666666666,0.6470588235294118,17,12
3232,hsa-mir-10a,SATB1,3232,-1.0,5.743491819716242,-0.3546766126001098,1.2115198288857452e-08,5.056943653337846,6.069470912109474,0.9166666666666666,0.6470588235294118,17,12
3996,hsa-mir-10b,VAX2,3996,1.0,8.756875389572214,-0.3397221912444395,5.2657536951275014e-08,-3.019586100933016,2.5505686411200337,1.0,0.8,5,4
3995,hsa-mir-10b,VAX2,3995,1.0,8.756875389572214,-0.3081157660392633,9.194512159359032e-07,-2.0621326309892805,1.3946343687772909,1.0,0.8,5,4
1442,hsa-mir-10b,HOXC10,1442,1.0,4.145358388987052,-0.359168214695075,7.675136761060936e-09,-2.7425893081638897,2.181987184248503,1.0,0.5,4,2
3614,hsa-mir-10b,SOX9,3614,1.0,1.3694314887146213,-0.4224956527844896,5.536973883263748e-12,-3.2381641696790564,2.85937509907062,0.8571428571428571,0.5217391304347826,23,14
3066,hsa-mir-10b,FOXO4,3066,1.0,5.893723697478265,-0.4212532371782956,6.47905409850049e-12,-5.05472120380296,6.035523655956043,1.0,0.75,12,9
3072,hsa-mir-10b,FOXO4,3072,1.0,5.893723697478265,-0.3170365413925132,4.238534750557846e-07,-3.1885189423870925,2.7907673200967973,1.0,0.75,12,9
3952,hsa-mir-10b,POU4F1,3952,1.0,13.940201357157948,-0.32459174254511,2.156322841295698e-07,-3.210229602776653,2.818392010242239,1.0,0.4,10,4
3953,hsa-mir-10b,POU4F1,3953,1.0,13.940201357157948,-0.3034992337764445,1.3592009668989647e-06,-2.4301182266210977,1.800721930805932,1.0,0.4,10,4
295,hsa-mir-10b,NR2C2,295,1.0,1.7528892205395337,-0.3917045628208782,2.2612925611144954e-10,-2.607326352097881,2.0128271338854007,0.6666666666666666,0.2857142857142857,7,3
4336,hsa-mir-10b,SOX11,4336,1.0,12.035000643282489,-0.4412285375595289,4.784750200297715e-13,-3.0269220092564355,2.559479779126203,1.0,0.7222222222222222,18,13
4348,hsa-mir-10b,SOX11,4348,1.0,12.035000643282489,-0.5415180765688182,5.414429375295863e-20,-3.010925613192183,2.537410374187411,1.0,0.7222222222222222,18,13
4338,hsa-mir-10b,SOX11,4338,1.0,12.035000643282489,-0.359329062529687,7.54969791549158e-09,-2.2998133094327,1.6506784495103828,1.0,0.7222222222222222,18,13
4155,hsa-mir-10b,TTF1,4155,1.0,4.117396313924286,-0.4181851975762983,9.524215883781714e-12,-3.254201327842873,2.8824695769451867,1.0,0.4285714285714285,7,3
