Source,Target,Edge,Coef
NKX2-5,MEF2D,-1,-0.01889276573306441
VENTX,MEF2D,1,0.046868747938515455
IRF1,MEF2D,-1,-0.08367065847764711
NR2C2,MEF2D,1,0.1167048232133256
HOXD13,MEF2D,-1,-0.00524762837147982
NR2E1,MEF2D,-1,-0.03698408959006649
POU4F1,MEF2D,-1,-0.014707814026427674
PRDM1,MEF2D,1,0.11261085598744543
FOXO4,MEF2D,1,0.18540304029251056
SMAD3,MEF2D,1,0.10140295648162838
FOXC2,MEF2D,1,0.009437214561858344
MEIS1,MEF2D,-1,-0.0838054268629218
PITX1,MEF2D,-1,-0.006046039861832841
POU3F2,MEF2D,1,0.023038898633246256
MAZ,MEF2D,1,0.020449577869094196
ZSCAN16,MEF2D,-1,-0.12562271124580257
SOX1,MEF2D,1,0.0005816579540919079
ZNF232,MEF2D,-1,-0.0040492179282084935
AR,MEF2D,-1,-0.08590048950999908
MSX1,MEF2D,-1,-0.021620185200735977
TBP,MEF2D,1,0.024039171447827343
PPARA,MEF2D,1,0.03125845758406654
ZNF35,MEF2D,-1,-0.05763729810103534
NR2F6,ARNT,-1,-0.07309778398560074
NFIX,ARNT,-1,-0.003787178047635386
MEF2D,ARNT,1,0.2270532122771893
HSF1,ARNT,1,0.052966614806708154
SOX18,ARNT,-1,-0.06985327084307225
ELF5,ARNT,-1,-0.016835886505325987
HOXC10,ARNT,-1,-0.0013361289977534378
ZNF652,ARNT,1,0.017378564752624195
ETS1,ARNT,1,0.06608693302358343
IRF8,ARNT,-1,-0.016287262955378325
ZNF281,ARNT,1,0.18741405779249987
FOXJ1,ARNT,1,0.01481338770705673
STAT4,ARNT,-1,-0.025298650831912583
SP1,ARNT,1,0.2705486819779304
NEUROD1,ARNT,-1,-0.0024797812100597312
HMGA1,ARNT,-1,-0.02847655943711794
ZBTB7B,ARNT,1,0.11565567027975344
SP4,ARNT,1,0.14940684186462055
SOX17,ARNT,-1,-0.0926135865527124
NFYA,ARNT,1,0.04215644546437645
GABPA,ARNT,1,0.006862485132045252
HOXD9,ARNT,-1,-0.04247635187254495
SOX15,ARNT,-1,-0.0016069501624441085
STAT5B,ARNT,1,0.12193755661401887
LEF1,ARNT,-1,-0.05148551830292429
KLF15,ARNT,-1,-0.0195477546326619
SOX2,ARNT,-1,-0.004175593208051211
SRF,ARNT,1,0.03761481919768587
POU3F3,ARNT,-1,-0.13652282265963642
CEBPD,ARNT,1,0.08963530503608359
TRAF4,ARNT,-1,-0.1030863725404522
CEBPA,ARNT,-1,-0.053499022696833404
JUN,ARNT,1,0.03040719946043472
CEBPG,ARNT,-1,-0.09343760221198226
ZNF217,ARNT,1,0.07310686517335716
XBP1,ARNT,1,0.03478995825713151
STAT5A,ARNT,1,0.007762203305778184
SOX11,ARNT,-1,-0.02809257578951104
HOXB9,ARNT,1,0.03848335066352558
EGR1,ARNT,-1,-0.09907057241454237
IRF1,ARNT,-1,-0.020141627583449548
FOXF2,ARNT,1,0.06768503881471356
RUNX2,ARNT,1,0.15709660994670022
MAF,ARNT,1,0.02764588631162559
FOXD3,ARNT,-1,-0.004819416910365426
HOXD13,ARNT,1,0.045839864375593196
IRF2,ARNT,1,0.008342111696286491
PRDM1,ARNT,-1,-0.015380027107057175
NKX2-2,ARNT,-1,-0.13263128343857625
HOXA10,ARNT,-1,-6.391568286025887e-05
ATF2,ARNT,1,0.18426517996335867
NKX3-1,ARNT,-1,-0.0751066915973183
PITX1,ARNT,-1,-0.0019692320945701594
TCF7L2,ARNT,1,0.084907130390394
HOXB13,ARNT,-1,-0.008781153598268756
MSX2,ARNT,-1,-0.0026624757492067744
HLF,ARNT,-1,-0.003988047149707254
ARID3A,ARNT,1,0.06551416932564788
TBP,ARNT,1,0.02688470900890132
BCL6,ARNT,1,0.012022100095344585
NKX6-1,ARNT,-1,-0.10957658545355417
ZNF35,ARNT,1,0.07944909648913219
MEF2D,NFKB2,1,0.0992828629490741
HSF1,NFKB2,1,0.1668652213048161
RELA,NFKB2,1,0.03638894133418089
FOSL1,NFKB2,1,0.15665369635784135
SP1,NFKB2,1,0.11098461146360675
SP4,NFKB2,-1,-0.08010483255299751
E2F4,NFKB2,1,0.05870919774291441
NFYA,NFKB2,1,0.019808004874802602
ETV6,NFKB2,1,0.08606622951857701
KLF15,NFKB2,-1,-0.04304855419690729
SPI1,NFKB2,1,0.06046846166990509
SOX2,NFKB2,-1,-0.003489038323188094
NFKB1,NFKB2,1,0.06196489248244767
TCF3,NFKB2,1,0.048690336377425904
VDR,NFKB2,1,0.19811881449100652
NFATC1,NFKB2,1,0.18228762279461957
FOS,NFKB2,-1,-0.0405093894142843
ZEB1,NFKB2,-1,-0.09017017237898023
PRDM1,NFKB2,1,0.046034740713711164
MEIS1,NFKB2,-1,-0.08320483596182825
ETV3,NFKB2,1,0.09668267043427399
MSX2,NFKB2,1,0.08455090986631512
AR,NFKB2,1,0.01884180562930225
TEAD4,NFKB2,1,0.0072910112361041935
MSX1,NFKB2,-1,-0.028340771764418255
TEAD1,NFKB2,-1,-0.0007880070801082123
ASCL2,NFKB2,1,0.030513520435893237
ZNF35,NFKB2,-1,-0.07629989426882108
ERG,HSF1,-1,-0.0711441901847305
ETV1,HSF1,1,0.03612130725375385
MEF2D,HSF1,1,0.03894022314549178
NRF1,HSF1,1,0.0764791144527072
CNOT3,HSF1,1,0.20503719595475645
ELF3,HSF1,-1,-0.0001855529299662681
HOXC13,HSF1,-1,-0.03799861102950312
HOXD9,HSF1,-1,-0.025521121406460717
ETV6,HSF1,1,0.05547090265147553
JDP2,HSF1,1,0.022288418746980905
SPI1,HSF1,1,0.006315528428514361
PATZ1,HSF1,1,0.028720962104464245
