,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1946,NF1,SOX2,R-1946,-1.0,2.0952520195549584,0.278621850533672,3.2824486543713514e-11,-3.422134253017287,2.7320870149954204,0.25,0.125,16,8
4494,NF1,BACH1,R-4494,1.0,2.596918601736608,0.2094079741633084,7.759313782133289e-07,3.321570398501948,2.640015200443825,1.0,0.8,5,4
4493,NF1,BACH1,R-4493,1.0,2.596918601736608,-0.2346890489246271,2.7902151486089943e-08,-2.755257457558582,1.9913232148320923,1.0,0.8,5,4
4492,NF1,BACH1,R-4492,1.0,2.596918601736608,0.2912260946595538,3.737736640678551e-12,2.942582510981414,2.1929005749990678,1.0,0.8,5,4
4491,NF1,BACH1,R-4491,1.0,2.596918601736608,0.0068671237221658,0.8726896696970909,2.831290207059588,2.0670371883489453,1.0,0.8,5,4
94,NF1,PPARG,R-94,1.0,3.907307835011491,0.3524866891738613,1.9053995515210226e-17,5.392986097068216,5.175448376894372,0.5,0.125,8,2
3107,NF1,ATF7,R-3107,1.0,1.539728784581332,0.2512571030298781,2.54067741780065e-09,3.848404836454313,3.237983630112798,1.0,0.3333333333333333,3,1
4096,NF1,FOXM1,R-4096,-1.0,1.909850401025488,0.2426807503069529,8.977221436964213e-09,-2.0979875312605705,1.3479579636910852,1.0,1.0,1,1
1082,NF1,POU3F4,R-1082,-1.0,1.4021181865258574,-0.3022579976769383,5.097888070553674e-13,4.296828296008648,3.8055487907564416,0.8571428571428571,0.4,15,7
1085,NF1,POU3F4,R-1085,-1.0,1.4021181865258574,-0.3137262995881338,5.862906713619553e-14,2.609355517927101,1.854278483829956,0.8571428571428571,0.4,15,7
1087,NF1,POU3F4,R-1087,-1.0,1.4021181865258574,-0.2484579032704841,3.855914731490511e-09,2.096583656095808,1.3539741802442913,0.8571428571428571,0.4,15,7
1084,NF1,POU3F4,R-1084,-1.0,1.4021181865258574,0.1711693276098992,5.724467261001914e-05,-3.045357841982397,2.293471604092385,0.8571428571428571,0.4,15,7
1079,NF1,POU3F4,R-1079,-1.0,1.4021181865258574,-0.1425390086501123,0.0008282832904529,3.755840118055224,3.1132563426827624,0.8571428571428571,0.4,15,7
1091,NF1,POU3F4,R-1091,-1.0,1.4021181865258574,-0.4126725634285115,6.6121306088305134e-24,2.0630961916173307,1.3204016777459529,0.8571428571428571,0.4,15,7
4272,NF1,NKX2-2,R-4272,-1.0,2.8477291686597432,-0.48120273353463,4.763634883526926e-33,5.455121682157324,5.331013965218727,0.9090909090909092,0.7142857142857143,14,11
4276,NF1,NKX2-2,R-4276,-1.0,2.8477291686597432,-0.4112983321673055,9.619678152808626e-24,2.713014265604764,1.9543512764991195,0.9090909090909092,0.7142857142857143,14,11
4274,NF1,NKX2-2,R-4274,-1.0,2.8477291686597432,-0.4586248830367379,8.357446830042907e-30,4.24784448049341,3.703185773677826,0.9090909090909092,0.7142857142857143,14,11
4280,NF1,NKX2-2,R-4280,-1.0,2.8477291686597432,0.4916445595531251,1.2413087532349075e-34,-3.1795894655391885,2.499802273835409,0.9090909090909092,0.7142857142857143,14,11
4275,NF1,NKX2-2,R-4275,-1.0,2.8477291686597432,0.3093075408291784,1.3642223956393298e-13,-2.256251443627037,1.499567231180274,0.9090909090909092,0.7142857142857143,14,11
